match,id_str,
56,1580625800423820000,
56,1580626559693900000,
55,1580565808245500000,
55,1580565562501250000,
54,1580320249081380000,
54,1580319980956300000,
53,1580293602697410000,
53,1580293483663070000,
52,1580259577916190000,
52,1580259382448610000,
51,1580186517787410000,
51,1580186077897200000,
50,1579954433349550000,
50,1579954164276540000,
49,1579889607956920000,
49,1579889325885760000,
48,1579839624465480000,
48,1579838342413570000,
47,1579582120573690000,
47,1579581838460190000,
46,1579544802387170000,
46,1579543750262780000,
45,1579504611362500000,
45,1579487030698200000,
44,1579463646987840000,
44,1579462179992240000,
43,1579255624088440000,
43,1579255254343780000,
42,1579221599429230000,
42,1579221365965870000,
41,1579152930191850000,
41,1579152659478900000,
40,1579100570194870000,
40,1579100349398640000,
57,1580934603929370000,
57,1580934358155670000,
39,1579074889168060000,
39,1579074656719740000,
38,1578863999416140000,
38,1578863796679950000,
37,1578862607234400000,
37,1578862377856290000,
36,1578780939064330000,
36,1578780752799730000,
36,1578749053508030000,
35,1578749053508030000,
35,1578747142105330000,
34,1578507061742420000,
34,1578506849883520000,
33,1578487804023430000,
33,1578487521612150000,
32,1578451097458330000,
32,1578450878255610000,
31,1578444348680590000,
31,1578444101200260000,
30,1578106238625250000,
30,1578106069926410000,
29,1578013013067860000,
29,1578012854069780000,
28,1577833172636780000,
28,1577832677620720000,
27,1577831935270950000,
27,1577831612733160000,
26,1577789852921340000,
26,1577790024904590000,
25,1577783623780000000,
25,1577783798862900000,
24,1577461958152160000,
24,1577462204613690000,
23,1577434622606330000,
23,1577434895181180000,
22,1577283399730920000,
22,1577283554580450000,
21,1577267903459560000,
21,1577268116689920000,
20,1577072635988830000,
20,1577073053485640000,
19,1577058623825770000,
19,1577059054979270000,
18,1577049381232340000,
18,1577049562849900000,
17,1577046976784300000,
17,1577047259329330000,
16,1576707739480240000,
16,1576707890953350000,
15,1576649342500600000,
15,1576649468979510000,
14,1576616206362030000,
14,1576616359269890000,
13,1576589585395520000,
13,1576589752584630000,
12,1576569474484160000,
12,1576569719129180000,
11,1576551225180400000,
11,1576551395162870000,
10,1576351878312750000,
10,1576352226184150000,
9,1576323162588880000,
9,1576323484900560000,
8,1576291185659820000,
8,1576291858694530000,
7,1576240037108540000,
7,1576240203513040000,
5,1576194822939220000,
5,1576194987217510000,
6,1576208504867940000,
6,1576208670714560000,
4,1575966151016080000,
4,1575966345430110000,
3,1575961082358680000,
3,1575961307551260000,
1,1575829490923900000,
1,1575830099387360000,
2,1575830537679170000,
2,1575830785700950000,
